,First_Letter_Frequency,Frequency,Second_Letter_Frequency,Frequency,Third_Letter_Frequency,Frequency,Fourth_Letter_Frequency,Frequency,Fifth_Letter_Frequency,Frequency
0,s,14.64,a,11.692307692307692,a,11.807692307692308,e,12.72,e,18.434782608695652
1,c,7.92,o,10.73076923076923,i,10.23076923076923,n,7.28,y,15.826086956521738
2,b,6.92,r,10.26923076923077,o,9.384615384615385,s,6.84,t,11.0
3,t,5.96,e,9.307692307692308,e,6.8076923076923075,a,6.52,r,9.217391304347826
4,p,5.68,i,7.769230769230769,u,6.346153846153846,l,6.48,l,6.782608695652174
5,a,5.64,l,7.730769230769231,r,6.269230769230769,i,6.32,h,6.043478260869565
6,f,5.44,u,7.153846153846154,n,5.346153846153846,c,6.08,n,5.6521739130434785
7,g,4.6,h,5.538461538461538,l,4.3076923076923075,r,6.08,d,5.130434782608695
8,d,4.44,n,3.3461538461538463,t,4.269230769230769,t,5.56,k,4.913043478260869
9,m,4.28,t,2.9615384615384617,s,3.076923076923077,o,5.28,a,2.782608695652174
10,r,4.2,p,2.3461538461538463,d,2.8846153846153846,u,3.28,o,2.5217391304347827
11,l,3.52,w,1.6923076923076923,g,2.576923076923077,g,3.04,p,2.4347826086956523
12,w,3.32,c,1.5384615384615385,m,2.3461538461538463,d,2.76,m,1.826086956521739
13,e,2.88,m,1.4615384615384615,p,2.230769230769231,m,2.72,g,1.7826086956521738
14,h,2.76,y,0.8846153846153846,b,2.1923076923076925,k,2.2,s,1.565217391304348
15,v,1.72,d,0.7692307692307693,c,2.1538461538461537,p,2.0,c,1.3478260869565217
16,o,1.64,b,0.6153846153846154,v,1.8846153846153846,v,1.84,f,1.1304347826086956
17,n,1.48,s,0.6153846153846154,y,1.1153846153846154,f,1.4,w,0.7391304347826086
18,i,1.36,v,0.5769230769230769,w,1.0,h,1.12,i,0.4782608695652174
19,u,1.32,x,0.5384615384615384,f,0.9615384615384616,w,1.0,b,0.4782608695652174
20,q,0.92,g,0.46153846153846156,k,0.46153846153846156,b,0.96,x,0.34782608695652173
21,j,0.8,k,0.38461538461538464,x,0.46153846153846156,z,0.8,z,0.17391304347826086
22,k,0.8,f,0.3076923076923077,z,0.4230769230769231,x,0.12,u,0.043478260869565216
23,y,0.24,q,0.19230769230769232,h,0.34615384615384615,y,0.12,,
24,z,0.12,z,0.07692307692307693,j,0.11538461538461539,j,0.08,,
25,,,j,0.07692307692307693,q,0.038461538461538464,,,,
